ID,Distances,,,5,
178,4590000,,,,
195,4600000,,,,
2616,4620000,,,,
106,4630000,,,,
133,4630000,,,,
1275,4630000,,,,
1689,4630000,,,,
2375,4640000,,,,
60,4650000,,,,
284,4650000,,,,
2367,4660000,,,,
147,4670000,,,,
98,4680000,,,,
102,4680000,,,,
2298,4720000,,,,
786,4760000,,,,
2554,4770000,,,,
1467,4780000,,,,
945,4790000,,,,
1,4820000,,,,
343,4830000,,,,
643,4870000,,,,
205,4880000,,,,
662,4910000,,,,
2032,4940000,,,,
2420,4940000,,,,
2422,4980000,,,,
33,5000000,,,,
1463,5060000,,,,
1122,5070000,,,,
213,5090000,,,,
629,5090000,,,,
2640,5090000,,,,
912,5100000,,,,
2344,5100000,,,,
1910,5130000,,,,
8,5150000,,,,
2377,5170000,,,,
1512,5210000,,,,
929,5220000,,,,
2106,5230000,,,,
4,5280000,,,,
7,5280000,,,,
2086,5290000,,,,
446,5300000,,,,
1422,5350000,,,,
694,5360000,,,,
1311,5380000,,,,
231,5450000,,,,
1462,5450000,,,,
942,5480000,,,,
154,5490000,,,,
1554,5490000,,,,
51,5500000,,,,
1537,5520000,,,,
113,5580000,,,,
668,5580000,,,,
916,5660000,,,,
788,5680000,,,,
52,5710000,,,,
2646,5760000,,,,
1300,5780000,,,,
1393,5830000,,,,
447,5860000,,,,
784,5900000,,,,
1293,5990000,,,,
936,6000000,,,,
1375,6120000,,,,
340,6320000,,,,
839,6340000,,,,
1704,6460000,,,,
2389,6560000,,,,
1279,6590000,,,,
443,6620000,,,,
969,6670000,,,,
2374,6720000,,,,
665,6730000,,,,
318,6850000,,,,
65,6860000,,,,
2348,6870000,,,,
1568,6910000,,,,
6,6920000,,,,
474,7070000,,,,
1109,7150000,,,,
1496,7150000,,,,
1900,7230000,,,,
968,7490000,,,,
1224,7580000,,,,
1247,7590000,,,,
1273,7590000,,,,
203,7730000,,,,
2416,7730000,,,,
1679,7840000,,,,
1563,7890000,,,,
47,7930000,,,,
1395,7950000,,,,
943,8040000,,,,
603,8120000,,,,
1486,8150000,,,,
1175,8230000,,,,
666,8400000,,,,
602,8410000,,,,
890,8670000,,,,
821,8690000,,,,
477,8750000,,,,
2521,8840000,,,,
1073,8900000,,,,
930,8910000,,,,
2172,8960000,,,,
967,9080000,,,,
2421,9370000,,,,
760,9420000,,,,
126,9520000,,,,
103,9540000,,,,
255,9550000,,,,
1869,9590000,,,,
888,9640000,,,,
663,9750000,,,,
2564,9820000,,,,
946,9880000,,,,
626,9910000,,,,
222,9980000,,,,
915,10200000,,,,
1102,10300000,,,,
101,10700000,,,,
1370,10700000,,,,
600,10800000,,,,
2346,10900000,,,,
1922,11000000,,,,
853,11200000,,,,
1599,11500000,,,,
2039,11500000,,,,
727,11700000,,,,
1058,12000000,,,,
221,12400000,,,,
1051,12400000,,,,
315,12500000,,,,
1645,12800000,,,,
71,13100000,,,,
168,13200000,,,,
1144,13600000,,,,
2615,14100000,,,,
761,14500000,,,,
2415,14700000,,,,
2487,14900000,,,,
1394,15400000,,,,
1607,15700000,,,,
661,16000000,,,,
5,16100000,,,,
2289,17200000,,,,
104,17400000,,,,
733,18400000,,,,
1187,18700000,,,,
2507,19300000,,,,
251,19700000,,,,
637,21400000,,,,
1052,22500000,,,,
450,24400000,,,,
604,27200000,,,,
223,27800000,,,,
2016,29900000,,,,
601,30100000,,,,
204,33300000,,,,
1270,37100000,min: ,3180000,,37100000
